"fecha_hora","hallazgo","host","alcance","dns_export_tipo","dns_export_destino","proxy_cloudflare_export","dns_publico","http_codigo","url_final","servidor","cf_ray","cloudflare_detectado","hsts","hsts_valor","x_frame_options","x_frame_options_valor","x_content_type_options","x_content_type_options_valor","content_security_policy","content_security_policy_valor","referrer_policy","referrer_policy_valor","permissions_policy","permissions_policy_valor","cantidad_faltantes","cabeceras_faltantes","resultado","error"
"2026-08-04T13:11:58+00:00","V-11","sgc.ccsm.org.co","PUBLICO","NO_PROVISTO","","","104.26.10.79;104.26.11.79;172.67.75.116;2606:4700:20::681a:b4f;2606:4700:20::681a:a4f;2606:4700:20::ac43:4b74","200","https://sites.google.com/ccsm.org.co/gestion-de-la-calidad/home","ESF","","NO","","","SI","DENY","SI","nosniff","SI","base-uri 'self';object-src 'none';report-uri /_/view/cspreport;script-src 'report-sample' 'nonce-sTDxo_EXoiwaV9oD06Xb4g' 'unsafe-inline' 'unsafe-eval';worker-src 'self';frame-ancestors https://google-admin.corp.google.com/","SI","origin","","","2","Strict-Transport-Security;Permissions-Policy","INCOMPLETO",""
"2026-08-04T13:11:58+00:00","V-11","sgc.ccsm.org.co","ORIGEN","NO_PROVISTO","","","104.26.11.79;104.26.10.79;172.67.75.116;2606:4700:20::681a:a4f;2606:4700:20::681a:b4f;2606:4700:20::ac43:4b74","403","https://sgc.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:58+00:00","V-12","magdalena-crece.ccsm.org.co","PUBLICO","NO_PROVISTO","","","104.26.11.79;104.26.10.79;172.67.75.116;2606:4700:20::681a:a4f;2606:4700:20::ac43:4b74;2606:4700:20::681a:b4f","403","https://magdalenacrece.com/","cloudflare","a25dcf9e8ab1879b-IAD","SI","","","SI","SAMEORIGIN","SI","nosniff","SI","default-src 'none'; script-src 'nonce-mf3tdsJ7MOoN4AHIl0XkC3' 'unsafe-eval' https://challenges.cloudflare.com; script-src-attr 'none'; style-src 'unsafe-inline'; img-src 'self' https://challenges.cloudflare.com; connect-src 'self' https://challenges.cloudflare.com; frame-src 'self' https://challenges.cloudflare.com blob:; child-src 'self' https://challenges.cloudflare.com blob:; worker-src blob:; form-action http: https:; base-uri 'self'","SI","same-origin","SI","accelerometer=(),camera=(),clipboard-read=(),clipboard-write=(),geolocation=(),gyroscope=(),hid=(),magnetometer=(),microphone=(),payment=(),publickey-credentials-get=(),screen-wake-lock=(),serial=(),sync-xhr=(),usb=(),xr-spatial-tracking=*","1","Strict-Transport-Security","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:58+00:00","V-12","magdalena-crece.ccsm.org.co","ORIGEN","NO_PROVISTO","","","104.26.11.79;172.67.75.116;104.26.10.79;2606:4700:20::681a:a4f;2606:4700:20::ac43:4b74;2606:4700:20::681a:b4f","403","https://magdalena-crece.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:58+00:00","V-13","www.aviso-de-privacidad.ccsm.org.co","PUBLICO","NO_PROVISTO","","","SIN_RESPUESTA","000","https://www.aviso-de-privacidad.ccsm.org.co/","","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","ERROR_CONEXION","curl: (6) Could not resolve host: www.aviso-de-privacidad.ccsm.org.co"
"2026-08-04T13:11:59+00:00","V-13","www.aviso-de-privacidad.ccsm.org.co","ORIGEN","NO_PROVISTO","","","SIN_RESPUESTA","403","https://www.aviso-de-privacidad.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:12:00+00:00","V-14","eventos.ccsm.org.co","PUBLICO","NO_PROVISTO","","","104.26.10.79;104.26.11.79;172.67.75.116;2606:4700:20::681a:a4f;2606:4700:20::681a:b4f;2606:4700:20::ac43:4b74","200","https://eventos.appsicam.net/","cloudflare","a25dcfa33b098080-IAD","SI","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","INCOMPLETO",""
"2026-08-04T13:12:00+00:00","V-14","eventos.ccsm.org.co","ORIGEN","NO_PROVISTO","","","104.26.10.79;172.67.75.116;104.26.11.79;2606:4700:20::ac43:4b74;2606:4700:20::681a:a4f;2606:4700:20::681a:b4f","403","https://eventos.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:12:00+00:00","V-15","apps.ccsm.org.co","PUBLICO","NO_PROVISTO","","","104.26.11.79;104.26.10.79;172.67.75.116;2606:4700:20::681a:a4f;2606:4700:20::ac43:4b74;2606:4700:20::681a:b4f","403","https://apps.sicam32.net/","cloudflare","a25dcfab5eb14b9a-IAD","SI","","","SI","SAMEORIGIN","","","","","SI","same-origin","","","4","Strict-Transport-Security;X-Content-Type-Options;Content-Security-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:12:00+00:00","V-15","apps.ccsm.org.co","ORIGEN","NO_PROVISTO","","","104.26.10.79;104.26.11.79;172.67.75.116;2606:4700:20::ac43:4b74;2606:4700:20::681a:a4f;2606:4700:20::681a:b4f","403","https://apps.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
